CXSMILES,Molecule Name,Set,pIC50 (MERS-CoV Mpro),pIC50 (SARS-CoV-2 Mpro)
CNS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1 |&1:21|,ASAP-0000638,Train,,4.79
CC1=CN=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,ASAP-0000640,Train,3.8,4.99
O=C(C[C@H]1CCCC(F)(F)C1)NC1=CN=CC2=CC=CC=C12 |&1:3|,ASAP-0000641,Train,4.74,5.23
CC1=CC=C(CC(=O)NC2=CN=CC3=CC=CC=C23)C(F)=C1F,ASAP-0000642,Train,5.06,
O=C(CC1=C(Cl)C(Cl)=CC=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000643,Train,5.03,
COC1=CC=C(C)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,ASAP-0000644,Train,4.38,5.25
CC1=CC=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1Cl,ASAP-0000645,Train,4.38,
CC1=CC(F)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,ASAP-0000646,Train,5.33,5.79
O=C1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2N1 |&1:3|,ASAP-0000647,Train,3.78,4.65
O=C(CC1=C(F)C=C(F)C(F)=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000648,Train,5.35,5.69
O=C(CC1=C(F)C(F)=CC(F)=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000649,Train,5.01,
CC1=CC=C(F)C(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,ASAP-0000650,Train,5.36,5.29
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=CC=NN1C)C(=O)C1=CC=CC=C12,ASAP-0000651,Train,5.02,5.82
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=NN(C)C=C1)C(=O)C1=CC=CC=C12,ASAP-0000652,Train,5.12,5.59
O=C(CC1=CC(F)=CN=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000653,Train,4.18,5.33
COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)=C1,ASAP-0000654,Train,6.6,7.16
CC1=CC=C(F)C=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,ASAP-0000655,Train,3.84,5.0
O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC=C(F)C(F)=C1,ASAP-0000656,Train,3.88,5.16
CC(F)(F)[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:4|,ASAP-0000657,Train,3.95,4.91
O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC(F)=CC(F)=C1,ASAP-0000658,Train,4.16,5.53
O=C(CC1=CC(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000710,Train,4.58,5.69
O=C(CC1=C(F)C(F)=CC=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000711,Train,4.95,4.66
O=C(CC1=CC=CC=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000712,Train,1.3,4.44
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1 |&1:2|,ASAP-0000713,Train,3.95,5.03
CC1=CC(F)=CC=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,ASAP-0000714,Train,2.43,4.56
"C[C@H]1COC2=CC=CC=C2[C@H]1C(=O)NC1=CN=CC2=CC=CC=C12 |&1:1,&2:10|",ASAP-0000715,Train,4.77,4.71
CC1=CC=C(F)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,ASAP-0000716,Train,4.44,5.73
O=C(CC1=CC(F)=CC=C1Cl)NC1=CN=CC2=CC=CC=C12,ASAP-0000717,Train,4.54,5.56
CC1=CC2=C(C=C1C)[C@H](C(=O)NC1=CN=CC3=CC=CC=C13)CO2 |&1:8|,ASAP-0000718,Train,5.29,5.34
O=C(NC1=CN=CC2=CC=CC=C12)[C@H](CC(F)(F)F)C1=CC(F)=CC=C1 |&1:13|,ASAP-0000719,Train,4.1,5.2
C[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1 |&1:1|,ASAP-0000720,Train,4.62,5.94
CC1=CC=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1F,ASAP-0000721,Train,4.27,4.2
O=C(CC1=C(F)C(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000722,Train,1.0,4.51
O=C(CC1=CC=C(F)C(F)=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000723,Train,5.34,4.8
O=C(CC1=C(F)C=CC=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000724,Train,4.35,
CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1 |&1:2|,ASAP-0000725,Train,4.53,6.11
CC1=CC=C([C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2CC2)C=C1 |&1:5|,ASAP-0000726,Train,4.31,4.73
O=C(CC1=CC(F)=CC(F)=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000727,Train,5.63,5.82
O=C(NC1=CN=CC2=CC=CC=C12)[C@H]1COC2=CC=C(F)C=C21 |&1:13|,ASAP-0000728,Train,4.6,5.46
O=C(CC1=CC=C(F)C=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000729,Train,5.0,4.6
O=C(CC1=CC(Cl)=CC=C1F)NC1=CN=CC2=CC=CC=C12,ASAP-0000730,Train,4.81,5.97
O=C(CC1=CC(F)=CC(F)=C1)NC1=CN=CC2=CC=CC=C12,ASAP-0000731,Train,4.88,6.19
O=C1N[C@]2(CCOC3=CC=CC=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,ASAP-0000732,Train,4.63,4.82
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=C(F)C=C2C1=O,ASAP-0000734,Train,5.35,6.28
O=C1N[C@]2(CCOC3=CC=C(CO)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12 |&1:3|,ASAP-0000735,Train,4.52,4.87
"CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O |o1:7,22|",ASAP-0000737,Train,4.15,5.27
CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC=C2)S1 |&1:11|,ASAP-0000771,Train,4.73,4.72
COC1=CC=C(CNC2=CN=C([C@H](NC(=O)CCl)C3=CC=CC=C3)S2)C(OC)=C1 |&1:12|,ASAP-0000772,Train,4.11,4.33
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC=C3C3CC3)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,ASAP-0000773,Train,5.08,6.33
CN1N=CC(C2CCC2)=C1CNC(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000794,Train,4.16,4.25
O=C(NCCC1=CNC2=NC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000795,Train,3.85,4.42
O=C(NCCC1=CNC2=CC(F)=CC=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000796,Train,4.05,
CC(C)(NC(=O)C1=CN=CC2=CC=CC=C12)C1=CC=CC(C#N)=C1,ASAP-0000798,Train,4.3,4.23
C[C@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=NC2=CC=CC=C2N1C |&1:1|,ASAP-0000799,Train,3.84,4.06
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC(F)=C1 |&1:15|,ASAP-0000800,Train,4.29,
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=CC(F)=C2C1=O,ASAP-0000801,Train,5.25,5.89
CC1=NC=C(CNC(=O)C2=CN=CC3=CC=CC=C23)N1C1=CC=CC=C1,ASAP-0000802,Train,4.1,
CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H]1C2=CC=CC=C2C[C@H]1O,ASAP-0000803,Train,4.19,
O=C(NCCC(=O)N1CCCCC1)C1=CN=CC2=CC=CC=C12,ASAP-0000805,Train,4.26,4.09
O=C(NCC1=CC=CC=C1N1C=CN=C1)C1=CN=CC2=CC=CC=C12,ASAP-0000806,Train,4.24,
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CN=CC=C2C1=O,ASAP-0000807,Train,4.45,5.59
O=C(NCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000808,Train,3.42,4.72
CC1=CC=CC2=C1C=C(CNC(=O)C1=CN=CC3=CC=CC=C13)N2,ASAP-0000809,Train,3.66,4.87
CN1C2=CC=CC=C2N(CCNC(=O)C2=CN=CC3=CC=CC=C23)S1(=O)=O,ASAP-0000810,Train,4.3,4.15
O=C(NCC1=CC2=C(CCCC2)N=C1O)C1=CN=CC2=CC=CC=C12,ASAP-0000811,Train,4.32,4.46
CN(C(=O)C1=CC=CN=C1)[C@H]1C2=CC=CC=C2C[C@H]1O,ASAP-0000812,Train,5.23,
CN(CC(=O)NC(C1=CC=CC=C1)C1=CC=CC=C1)C(=O)C1=CC=CN=C1,ASAP-0000813,Train,4.3,
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(F)=C1 |&1:17|,ASAP-0000815,Train,4.38,
CC1=NN(C2=CC=C(Cl)C=C2)C(NC(=O)C2=CN=CC3=CC=CC=C23)=C1C,ASAP-0000816,Train,7.88,
CC1=C(CCNC(=O)C2=CN=CC3=CC=CC=C23)C2=CC(O)=CC=C2N1,ASAP-0000817,Train,4.23,
O=C(NCCN1C(=O)CC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,ASAP-0000818,Train,4.21,
O=C(NCC1=NC2=CC(Cl)=CC=C2S1)C1=CN=CC2=CC=CC=C12,ASAP-0000819,Train,4.96,4.04
NC(=O)C1(NC(=O)C2=CN=CC3=CC=CC=C23)CC2=CC=CC=C2C1,ASAP-0000820,Train,4.25,
O=C(NCCC1=CNC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000821,Train,4.08,4.91
CC1=CN=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,ASAP-0000822,Train,4.36,
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=C1,ASAP-0000823,Train,4.39,
CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC=CC=C21,ASAP-0000824,Train,3.58,4.07
O=C(N[C@H]1C2=CC=CC=C2C[C@H]1O)C1=CN=CC2=CC=CC=C12,ASAP-0000825,Train,3.76,
CN(CC1=CC=CC(O)=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000827,Train,6.25,
CN(CC1=NN(C2=CC=CC=C2)N=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000828,Train,7.33,
O=C(NCC1=CC=CC=C1N1C=CC=N1)C1=CN=CC2=CC=CC=C12,ASAP-0000829,Train,4.29,
CN(CC1=CC=C2C=CNC2=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000830,Train,4.19,
O=C(C1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=CC=C1,ASAP-0000831,Train,4.27,
COC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,ASAP-0000832,Train,4.52,4.24
CN1CCN(C(=O)CCCNC(=O)C2=CN=CC3=CC=CC=C23)CC1,ASAP-0000833,Train,4.37,
O=C(NCCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,ASAP-0000834,Train,4.26,
O=C(C1=CN=CC2=CC=CC=C12)N1CCC(CC2=CC=C(F)C=C2)CC1,ASAP-0000835,Train,4.23,5.1
COC1=CC=C2OCC[C@@H](NC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,ASAP-0000836,Train,3.9,
CC1=CC=C([C@H](CO)NC(=O)C2=CN=CC3=CC=CC=C23)C=C1 |&1:5|,ASAP-0000837,Train,4.47,
CN1N=C(CNC(=O)C2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O,ASAP-0000838,Train,3.61,
CC1=NC=C2CC[C@H](NC(=O)C3=CN=CC4=CC=CC=C34)CN21 |&1:7|,ASAP-0000839,Train,4.15,
O=C(NCCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000840,Train,3.82,4.82
O=C(NCCN1CCC2=CC=CC=C2C1=O)C1=CN=CC2=CC=CC=C12,ASAP-0000841,Train,4.17,
O=C(NC1CN(C2=CC=NC=C2)C1)C1=CN=CC2=CC=CC=C12,ASAP-0000842,Train,4.33,
O=C(N[C@H]1C2=CC=CC=C2C[C@@H]1O)C1=CN=CC2=CC=CC=C12,ASAP-0000843,Train,4.35,
O=C(NCC1=NC=CN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,ASAP-0000844,Train,4.17,
O=C(NCC1=CC=NN1C1=CC=CC=C1)C1=CN=CC2=CC=CC=C12,ASAP-0000845,Train,4.21,
O=C(NCCC1=CNC2=NC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000846,Train,4.06,4.32
C[C@@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=CSC2=CC=CC=C12,ASAP-0000847,Train,4.48,
O=C(NCC1=CSC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000848,Train,4.12,
O=C(NCC(=O)N1CCCC2=CC=CC=C21)C1=CN=CC2=CC=CC=C12,ASAP-0000849,Train,4.24,
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1,ASAP-0000850,Train,4.33,
O=C(C1=CN=CC2=CC=CC=C12)N1CC[C@H]1C1=CC=CC=C1F |&1:15|,ASAP-0000851,Train,4.21,
N#CC1=CC=CC=C1CNC(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000852,Train,4.0,
O=C(NCC(=O)N1CCCC1)C1=CN=CC2=CC=CC=C12,ASAP-0000853,Train,5.13,
CN(CC1=NC2=CC=CC=C2N1C)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000855,Train,4.31,
CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC(F)=CC=C21,ASAP-0000856,Train,4.5,
COC1=CC=C(O)C([C@H](C)NC(=O)C2=CN=CC3=CC=CC=C23)=C1 |&1:8|,ASAP-0000857,Train,4.3,
O=C(NCCOC1=CC(Cl)=CC=N1)C1=CN=CC2=CC=CC=C12,ASAP-0000858,Train,3.65,4.8
"O=C(N[C@@H]1C[C@H](O)C2=CC=CC=C21)C1=CN=CC2=CC=CC=C12 |&1:3,5|",ASAP-0000859,Train,4.5,
O=C(NCC1=CC(=O)NC2=CC=CC=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000860,Train,4.15,
CN(CC1=CC=CC(C#N)=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0000861,Train,4.18,
O=C(NCCC1=CNC2=CN=CC=C12)C1=CN=CC2=CC=CC=C12,ASAP-0000862,Train,3.92,
O=C(NCC1=NC2=CC=CC=C2N1)C1=CN=CC2=CC=CC=C12,ASAP-0000863,Train,4.52,4.23
CC1=CC=C(F)C(CN(C)C(=O)C2=CN=CC3=CC=CC=C23)=C1,ASAP-0000864,Train,4.21,
C[C@H](C1=CC=C(F)C=C1)N(C)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0008244,Train,4.18,
O=C1C(C2=CC=CC(Cl)=C2)=CN=CN1C1=CN=CC2=CC=CC=C12,ASAP-0008245,Train,4.76,5.78
O=C(C1=CN=CC2=CC=CC=C12)N1CCOC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|,ASAP-0008246,Train,4.2,
CC1=CC([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=CC=N1 |&1:4|,ASAP-0008247,Train,4.16,
CC1=CC=C(Cl)C([C@H]2CCCN2C(=O)C2=CN=CC3=CC=CC=C23)=C1 |&1:7|,ASAP-0008248,Train,9.0,
"CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H]1CC2=CC=CC=C2[C@H]1O |&1:14,22|",ASAP-0008249,Train,4.21,
CC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=N1,ASAP-0008250,Train,4.25,
CN(CCC1=CC=NC=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0008251,Train,4.37,
COC1=CC=C(Cl)C=C1[C@H]1CCCCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:9|,ASAP-0008252,Train,4.31,
CN(C(=O)C1=CN=CC2=CC=CC=C12)[C@H](C1=CC=CC(Cl)=C1)C1=CC=CC=N1 |&1:14|,ASAP-0008253,Train,3.84,
CC1=NC=C(C2=CC=CC(Cl)=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,ASAP-0008255,Train,4.91,4.8
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC=N1 |&1:17|,ASAP-0008256,Train,4.29,
O=C(N[C@H]1CCCN(C(=O)C2=CN=CC3=CC=CC=C23)C1)C1=CC=C(Cl)C=C1 |&1:3|,ASAP-0008257,Train,4.22,
CCC1=CC=C2C(=C1)[C@H](NC(=O)C1=CN=CC3=CC=CC=C13)C(=O)N2C |&1:8|,ASAP-0008261,Train,4.28,
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=CC(Cl)=C1 |&1:17|,ASAP-0008264,Train,4.37,
"CC1=CC=CC=C1[C@H]1[C@H](O)CCN1C(=O)C1=CN=CC2=CC=CC=C12 |&1:7,&2:8|",ASAP-0008265,Train,3.7,
O=C(C1=CN=CC2=CC=CC=C12)N1CCCC[C@H]1C1=CC=C(Cl)C=C1 |&1:17|,ASAP-0008266,Train,4.44,
CN(CCC1=CC=CC=C1)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0008267,Train,4.25,
CC(C)C[C@H](NC(=O)OC1CC2(C1)CN(C(=O)CC1=CC=CC=C1)C2)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,ASAP-0008269,Train,4.7,4.2
CN(CC1=CN=C2C=CC=CN12)C(=O)C1=CN=CC2=CC=CC=C12,ASAP-0008282,Train,4.94,
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCN(C)CC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008283,Train,3.99,
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008284,Train,4.17,5.83
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCCCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008285,Train,4.86,6.41
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008313,Train,4.13,5.17
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008314,Train,5.69,6.65
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCOCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008315,Train,5.05,6.9
"CNC(=O)CN1C[C@]2(C[C@H](COC)N(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |&1:7,9|",ASAP-0008316,Train,4.28,4.27
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(F)=CC=C2C1=O |o1:3|,ASAP-0008329,Train,4.52,5.02
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(F)=CC=C2C1=O |o1:3|,ASAP-0008330,Train,5.42,6.34
CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N2CCNCC2)CCN1CC1=CC=CC(Cl)=C1 |&1:4|,ASAP-0008331,Train,4.25,6.92
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O |o1:3|,ASAP-0008332,Train,4.5,5.22
C=C(CN(C(=O)[C@H]1CN(CC(=O)NC)CC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)O |&1:6|,ASAP-0008333,Train,4.68,4.88
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=C(Cl)C=CC=C1Cl |&1:17|,ASAP-0008356,Train,4.73,4.38
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2C1=O |o1:3|,ASAP-0008357,Train,4.27,
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@]12CN1N=NC=C1C1=CC=C(Cl)C=C12,ASAP-0008358,Train,4.38,4.11
N#CC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,ASAP-0008359,Train,5.69,4.89
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|,ASAP-0008360,Train,4.32,4.75
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C(F)(F)F)=CC=C2C1=O |o1:3|,ASAP-0008361,Train,4.95,5.44
CN1C[C@]2(CCCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008362,Train,4.79,5.98
CN1C[C@]2(CCCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008363,Train,4.12,
C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN1N=NC=C1C1=CC=C(Cl)C=C12,ASAP-0008364,Train,5.16,6.18
O=C(CC1=CN=CC2=CC=CC=C12)N1CC2=CC=CC=C2OCC12CC2,ASAP-0008365,Train,4.68,4.45
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCC2=CC=CC=C21,ASAP-0008366,Train,4.74,4.68
CN(C(=O)CC1=CN=CC2=CC=CC=C12)[C@H](C1=CC=C(Cl)C=C1)C1CC1 |&1:15|,ASAP-0008367,Train,4.4,4.8
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]21 |&1:16,21|",ASAP-0008368,Train,3.96,4.5
CC1=CC=C(F)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1F,ASAP-0008369,Train,4.73,4.24
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC2=CC=C(Cl)C=C2CC1,ASAP-0008370,Train,3.9,5.43
CN(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008371,Train,4.44,5.23
CN(CCC1=CC=CC=C1Cl)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008372,Train,3.61,4.56
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CS1)C1=CC=CC=C1,ASAP-0008373,Train,5.26,5.0
COC1=CC=C(N(CC2=CC=CC=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=C1,ASAP-0008374,Train,5.72,5.37
"O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]2CCC(F)(F)C[C@H]21 |&1:17,24|",ASAP-0008375,Train,4.42,4.46
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC(F)=C1)C1CC1,ASAP-0008376,Train,4.76,5.52
CC1=NN(C)C(CN(C)C(=O)CC2=CN=CC3=CC=CC=C23)=C1,ASAP-0008381,Train,4.18,
"C[C@H]1[C@H]2CCCC[C@H]2CN1C(=O)CC1=CN=CC2=CC=CC=C12 |&1:1,&2:2,&3:7|",ASAP-0008382,Train,4.3,5.02
O=C(CC1=CN=CC2=CC=CC=C12)NCC1=CC=CC(Cl)=C1,ASAP-0008383,Train,4.08,5.25
"C[C@H]1CC[C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]2C1 |&1:1,&2:4,&3:22|",ASAP-0008384,Train,4.27,4.92
"O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCCC[C@H]2CC1 |&1:16,&2:21|",ASAP-0008385,Train,4.75,5.88
CC1=CC=CC(CN(C(=O)CC2=CN=CC3=CC=CC=C23)C2CC2)=C1,ASAP-0008386,Train,4.33,5.04
CCCN(CCC1=CC=CS1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008387,Train,4.75,4.68
O=C(CC1=CN=CC2=CC=CC=C12)N1CCCCCC2=CC=CC=C2C1,ASAP-0008388,Train,5.36,5.79
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=CC=C(Cl)C=C1 |&1:17|,ASAP-0008392,Train,4.94,4.68
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)C1=CC=CC=C1,ASAP-0008393,Train,5.36,5.11
CC(C)N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008394,Train,4.62,5.82
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|,ASAP-0008401,Train,5.89,5.55
CN1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(C3CC3)=CC=C2C1=O |o1:3|,ASAP-0008402,Train,4.31,4.09
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C(F)C=C1)C1CCCCC1,ASAP-0008404,Train,5.05,5.05
C[C@H](C1=CC=CC=C1)N(CC1=CC=CC=C1)C(=O)CC1=CN=CC2=CC=CC=C12,ASAP-0008405,Train,5.2,5.15
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1)CC1=CC=C(F)C=C1,ASAP-0008408,Train,5.02,5.0
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=CC=C1O)C1=CC=C(F)C=C1,ASAP-0008409,Train,4.89,4.78
O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C1=C(F)C=CC(Cl)=C1F |&1:17|,ASAP-0008410,Train,3.87,5.38
CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008411,Train,5.4,6.31
CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O |o1:3|,ASAP-0008412,Train,4.28,
O=C(CC1=CN=CC2=CC=CC=C12)N(CC1=CC=C2NC=CC2=C1)CC1=CC=CS1,ASAP-0008415,Train,5.24,4.97
CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(F)=CC=C2C1=O,ASAP-0008420,Train,5.68,6.96
O=C(NC1=CC=CC=C1)OCC1=CC=CC=C1,ASAP-0008424,Train,4.1,
N=C(N)NCCC1=CC=CC(B(O)O)=C1,ASAP-0008425,Train,6.61,
N=C(N)NC1=CC=C(OC(=O)NC2=CC=CC=C2)C=C1,ASAP-0008427,Train,4.49,5.68
